"Channel 1_x","Channel 1_y","Channel 2_x","Channel 2_y","Channel 3_x","Channel 3_y"
492.4608228,24.6,492.8627353,23.58,493.2653635,18.82,
493.6673586,24.6,494.0771081,23.58,494.4854338,18.82,
494.8880277,24.6,495.2890964,23.58,495.6901119,18.82,
496.0921092,24.6,496.4939001,23.58,496.8958435,18.82,
497.2981586,24.61,497.7006626,23.58,498.1136277,18.82,
498.5151327,24.61,498.917238,23.58,499.3194366,18.82,
499.7214713,24.61,500.1233459,23.58,500.5249341,18.81,
500.9264872,24.61,501.3281643,23.58,501.7296703,18.81,
502.1313806,24.61,502.5332143,23.58,502.9354079,18.81,
503.337714,24.6,503.7397461,23.58,504.1425486,18.81,
504.5464935,24.6,504.9510794,23.58,505.3535559,18.81,
505.7558336,24.6,506.1576371,23.58,506.5597768,18.81,
506.9620905,24.62,507.364537,23.58,507.7670143,18.81,
508.1693099,24.62,508.5720289,23.58,508.9771116,18.81,
509.3785319,24.62,509.7804978,23.58,510.1819739,18.81,
510.5833602,24.62,510.9856293,23.58,511.3877654,18.81,
511.7891517,24.62,512.1904483,23.58,512.5920725,18.81,
512.993511,24.62,513.3953178,23.58,513.7992311,18.81,
514.2015667,24.63,514.6040509,23.58,515.0059247,18.81,
515.4074655,24.63,515.80881,23.58,516.2101719,18.81,
516.6117306,24.63,517.0130551,23.57,517.4142892,18.81,
